,distance,consume,speed,temp_inside,temp_outside,specials,gas_type,ac,rain,sun,refill_liters,refill_gas
194,39.0,4.1,61,22.0,16,unknown,SP98,0,0,0,38.0,unknown
195,11.8,4.5,41,21.5,13,unknown,SP98,0,0,0,38.0,unknown
196,38.5,4.8,63,21.5,14,unknown,SP98,0,0,0,38.0,unknown
197,28.2,4.6,54,21.5,14,unknown,SP98,0,0,0,38.0,unknown
198,2.9,7.4,24,21.5,14,unknown,SP98,0,0,0,38.0,unknown
199,6.1,5.6,24,21.5,13,unknown,SP98,0,0,0,38.0,unknown
200,19.6,4.9,43,21.5,13,unknown,SP98,0,0,0,38.0,unknown
201,22.2,3.8,42,22.0,15,unknown,SP98,0,0,0,38.0,unknown
202,13.6,4.5,44,19.0,18,unknown,SP98,0,0,0,38.0,unknown
203,12.6,4.1,33,22.0,17,unknown,SP98,0,0,0,38.0,unknown
204,8.7,5.3,28,22.5,12,ac rain,SP98,1,1,0,38.0,unknown
205,7.9,4.7,31,22.5,12,ac,SP98,1,0,0,38.0,unknown
206,2.4,9.0,26,20.0,10,unknown,SP98,0,0,0,38.0,unknown
207,4.9,6.3,26,20.0,10,unknown,SP98,0,0,0,38.0,unknown
208,18.1,3.6,36,20.0,19,unknown,SP98,0,0,0,38.0,unknown
209,25.9,3.7,39,20.0,21,unknown,SP98,0,0,0,38.0,unknown
210,1.3,11.5,21,20.0,10,unknown,SP98,0,0,0,38.0,unknown
211,14.1,5.0,22,20.0,12,unknown,SP98,0,0,0,38.0,unknown
212,13.4,5.5,31,20.0,9,unknown,SP98,0,0,0,38.0,unknown
213,6.4,4.7,33,20.0,8,unknown,SP98,0,0,0,38.0,unknown
214,12.9,4.5,42,20.0,13,unknown,SP98,0,0,0,38.0,unknown
215,12.1,4.4,33,22.5,5,unknown,SP98,0,0,0,38.0,unknown
216,15.7,4.1,32,22.5,13,unknown,SP98,0,0,0,38.0,unknown
217,16.2,4.4,26,22.5,11,unknown,SP98,0,0,0,38.0,unknown
218,12.8,4.6,22,22.5,12,unknown,SP98,0,0,0,38.0,unknown
219,19.0,4.4,58,22.5,17,sun,SP98,0,0,1,38.0,unknown
220,29.0,4.0,27,22.5,12,unknown,SP98,0,0,0,38.0,unknown
221,12.1,5.0,32,22.5,9,unknown,SP98,0,0,0,38.0,unknown
222,12.3,5.2,55,22.5,10,unknown,SP98,0,0,0,38.0,unknown
223,24.8,4.0,56,22.5,11,unknown,SP98,0,0,0,38.0,unknown
224,12.9,5.1,34,22.5,8,rain,SP98,0,1,0,38.0,unknown
225,11.8,4.5,39,22.5,3,unknown,SP98,0,0,0,38.0,unknown
226,31.4,4.6,62,22.5,11,unknown,SP98,0,0,0,38.0,unknown
227,19.0,5.1,53,22.5,4,rain,SP98,0,1,0,38.0,unknown
228,13.0,5.7,38,22.5,3,ac rain,SP98,1,1,0,38.0,unknown
229,11.8,4.8,42,22.5,2,unknown,SP98,0,0,0,38.0,unknown
230,13.0,6.2,32,22.5,4,unknown,SP98,0,0,0,38.0,unknown
231,11.8,5.0,43,22.5,1,unknown,SP98,0,0,0,38.0,unknown
232,27.1,5.0,69,22.5,8,unknown,SP98,0,0,0,38.0,unknown
233,5.2,4.6,38,22.5,8,unknown,SP98,0,0,0,38.0,unknown
234,19.0,4.5,29,22.5,10,unknown,E10,0,0,0,39.0,E10
235,12.4,4.8,38,22.5,1,unknown,E10,0,0,0,38.0,unknown
236,25.2,5.0,55,22.5,9,unknown,E10,0,0,0,38.0,unknown
237,14.3,4.8,36,22.5,10,unknown,E10,0,0,0,38.0,unknown
238,11.8,4.6,40,22.5,2,unknown,E10,0,0,0,38.0,unknown
239,16.9,4.5,48,22.5,9,sun,E10,0,0,1,38.0,unknown
240,12.4,4.6,55,22.5,11,sun,E10,0,0,1,38.0,unknown
241,17.4,4.4,36,22.5,12,sun,E10,0,0,1,38.0,unknown
242,9.2,5.7,33,22.5,8,rain,E10,0,1,0,38.0,unknown
243,12.3,5.8,54,22.5,10,rain,E10,0,1,0,38.0,unknown
244,13.0,5.9,32,22.5,10,unknown,E10,0,0,0,38.0,unknown
245,11.8,6.1,16,22.5,6,rain,E10,0,1,0,38.0,unknown
246,13.0,5.7,37,22.5,11,rain,E10,0,1,0,38.0,unknown
247,12.3,5.0,42,22.5,10,unknown,E10,0,0,0,38.0,unknown
248,12.3,5.2,57,22.5,15,sun,E10,0,0,1,38.0,unknown
249,12.5,4.3,57,22.5,16,sun,E10,0,0,1,38.0,unknown
250,31.5,4.1,30,22.5,16,sun,E10,0,0,1,38.0,unknown
251,11.8,4.4,42,22.5,8,unknown,E10,0,0,0,38.0,unknown
252,24.9,4.5,53,22.5,14,unknown,E10,0,0,0,38.0,unknown
253,17.0,3.9,46,22.5,14,sun,E10,0,0,1,38.0,unknown
254,2.0,8.1,20,22.5,14,unknown,E10,0,0,0,38.0,unknown
255,11.8,4.4,33,22.5,8,unknown,E10,0,0,0,38.0,unknown
256,7.4,5.0,31,22.5,12,unknown,E10,0,0,0,38.0,unknown
257,12.4,4.7,55,22.5,14,sun,E10,0,0,1,38.0,unknown
258,2.0,6.0,22,22.5,14,unknown,E10,0,0,0,38.0,unknown
259,14.0,5.0,41,22.5,8,unknown,E10,0,0,0,38.0,unknown
260,25.7,5.0,45,22.5,7,unknown,E10,0,0,0,38.0,unknown
261,24.5,3.9,50,22.0,15,sun,E10,0,0,1,38.0,unknown
262,11.8,4.5,28,22.5,12,unknown,E10,0,0,0,38.0,unknown
263,4.1,5.4,24,22.5,13,unknown,E10,0,0,0,38.0,unknown
264,4.2,5.6,29,22.0,17,unknown,E10,0,0,0,38.0,unknown
265,4.2,3.9,29,22.0,18,sun,E10,0,0,1,38.0,unknown
266,16.0,4.0,40,22.0,10,unknown,E10,0,0,0,38.0,unknown
267,22.9,4.0,29,22.0,21,unknown,E10,0,0,0,38.0,unknown
268,16.0,3.8,42,22.0,8,unknown,E10,0,0,0,38.0,unknown
269,15.4,4.5,50,22.0,14,unknown,E10,0,0,0,38.0,unknown
270,16.0,3.8,41,22.0,12,unknown,E10,0,0,0,38.0,unknown
271,4.2,5.6,32,22.0,18,unknown,E10,0,0,0,38.0,unknown
272,101.9,5.2,75,22.0,18,unknown,E10,0,0,0,38.0,unknown
273,93.9,4.8,88,23.0,18,ac sun,E10,1,0,1,38.0,unknown
274,25.7,4.9,50,22.0,10,rain,SP98,0,1,0,41.0,SP98
275,16.0,4.1,40,22.0,10,unknown,SP98,0,0,0,38.0,unknown
276,16.1,4.5,32,22.0,19,unknown,SP98,0,0,0,38.0,unknown
277,16.0,4.4,40,22.0,7,ac rain,SP98,1,1,0,38.0,unknown
278,16.0,4.5,41,22.0,11,unknown,SP98,0,0,0,38.0,unknown
279,24.7,4.5,26,22.0,10,unknown,SP98,0,0,0,38.0,unknown
280,16.0,3.9,42,22.0,8,unknown,SP98,0,0,0,38.0,unknown
281,15.4,4.6,43,22.0,16,unknown,SP98,0,0,0,38.0,unknown
282,16.0,3.8,40,22.0,8,unknown,SP98,0,0,0,38.0,unknown
283,32.1,4.5,50,22.0,16,unknown,SP98,0,0,0,38.0,unknown
284,25.9,4.4,40,22.0,14,unknown,SP98,0,0,0,38.0,unknown
285,48.6,4.3,44,22.0,12,unknown,SP98,0,0,0,38.0,unknown
286,37.2,4.0,45,22.0,20,sun,SP98,0,0,1,38.0,unknown
287,28.8,3.9,35,22.0,15,sun,SP98,0,0,1,38.0,unknown
288,6.7,5.0,30,22.0,17,unknown,SP98,0,0,0,38.0,unknown
289,7.4,4.1,25,22.0,18,sun,SP98,0,0,1,38.0,unknown
290,17.3,4.1,22,22.0,25,sun,SP98,0,0,1,38.0,unknown
291,6.6,5.6,43,22.0,16,unknown,SP98,0,0,0,38.0,unknown
292,14.3,4.1,26,22.0,20,unknown,SP98,0,0,0,38.0,unknown
293,13.3,4.6,33,22.0,18,unknown,SP98,0,0,0,38.0,unknown
294,8.3,4.9,26,22.0,23,unknown,SP98,0,0,0,38.0,unknown
295,12.7,4.5,39,22.0,27,sun,SP98,0,0,1,38.0,unknown
296,16.5,4.1,47,22.0,14,unknown,SP98,0,0,0,38.0,unknown
297,20.6,4.1,38,22.0,21,unknown,SP98,0,0,0,38.0,unknown
298,16.3,4.5,58,22.0,16,unknown,SP98,0,0,0,38.0,unknown
299,18.7,4.2,65,25.0,18,ac sun,SP98,1,0,1,38.0,unknown
300,36.5,3.9,54,23.0,18,sun,SP98,0,0,1,38.0,unknown
301,19.0,5.0,35,22.0,15,ac sun,SP98,1,0,1,38.0,unknown
302,16.6,4.4,46,22.0,5,ac,SP98,1,0,0,38.0,unknown
303,29.9,4.5,32,22.0,18,ac,SP98,1,0,0,38.0,unknown
304,16.0,3.8,42,22.0,11,unknown,SP98,0,0,0,38.0,unknown
305,21.1,5.1,33,22.0,10,rain,SP98,0,1,0,38.0,unknown
306,16.0,3.9,40,22.0,10,unknown,SP98,0,0,0,38.0,unknown
307,11.9,5.3,34,22.0,13,unknown,SP98,0,0,0,38.0,unknown
308,10.1,4.2,35,22.0,16,unknown,SP98,0,0,0,38.0,unknown
309,31.9,4.3,33,22.0,16,unknown,SP98,0,0,0,38.0,unknown
310,18.7,4.0,60,22.0,13,unknown,SP98,0,0,0,38.0,unknown
311,10.8,4.7,48,22.0,17,sun,SP98,0,0,1,38.0,unknown
312,19.8,4.0,56,22.0,17,sun,SP98,0,0,1,38.0,unknown
313,11.3,4.3,38,22.0,17,unknown,SP98,0,0,0,37.0,SP98
314,11.5,5.3,53,22.0,15,unknown,SP98,0,0,0,38.0,unknown
315,21.4,5.2,51,22.0,13,unknown,SP98,0,0,0,38.0,unknown
316,32.0,4.9,53,22.0,15,unknown,SP98,0,0,0,38.0,unknown
317,41.9,4.7,53,22.0,14,unknown,SP98,0,0,0,38.0,unknown
318,211.0,4.6,80,22.0,20,unknown,SP98,0,0,0,38.0,unknown
319,216.1,5.3,90,22.0,21,sun,SP98,0,0,1,38.0,unknown
320,25.5,3.6,27,22.0,27,sun,SP98,0,0,1,38.0,unknown
321,16.6,4.2,52,22.0,15,rain,SP98,0,1,0,38.0,unknown
322,25.9,4.1,43,22.0,24,unknown,SP98,0,0,0,38.0,unknown
323,16.5,4.0,48,22.0,15,unknown,SP98,0,0,0,38.0,unknown
324,22.1,3.9,29,22.0,26,unknown,SP98,0,0,0,38.0,unknown
325,16.6,3.7,49,22.0,17,unknown,E10,0,0,0,37.7,E10
326,15.4,4.5,43,22.0,24,unknown,E10,0,0,0,38.0,unknown
327,16.5,3.9,43,22.0,17,unknown,E10,0,0,0,38.0,unknown
328,15.4,5.1,21,22.0,24,unknown,E10,0,0,0,38.0,unknown
329,18.4,4.2,59,22.0,24,unknown,E10,0,0,0,38.0,unknown
330,39.5,4.2,58,22.0,25,unknown,E10,0,0,0,38.0,unknown
331,21.5,4.8,47,25.0,27,ac sun,E10,1,0,1,38.0,unknown
332,4.8,4.7,26,25.0,18,unknown,E10,0,0,0,38.0,unknown
333,100.9,4.7,87,23.5,22,unknown,E10,0,0,0,38.0,unknown
334,129.7,4.6,58,24.0,21,ac,E10,0,0,0,38.0,unknown
335,16.6,3.8,43,21.5,16,unknown,E10,0,0,0,38.0,unknown
336,15.4,4.2,50,21.5,21,unknown,E10,0,0,0,38.0,unknown
337,16.0,3.7,45,22.0,17,unknown,E10,0,0,0,38.0,unknown
338,16.0,4.2,41,22.0,15,unknown,E10,0,0,0,38.0,unknown
339,15.4,4.1,45,22.0,24,unknown,E10,0,0,0,38.0,unknown
340,16.0,4.0,43,22.0,16,unknown,E10,0,0,0,38.0,unknown
341,21.0,3.8,37,22.0,21,unknown,E10,0,0,0,38.0,unknown
342,15.4,3.8,47,22.0,24,unknown,E10,0,0,0,38.0,unknown
343,16.0,3.8,42,22.0,17,unknown,E10,0,0,0,38.0,unknown
344,16.1,5.1,30,25.0,16,ac rain,E10,1,1,0,38.0,unknown
345,16.0,4.0,42,22.0,15,unknown,E10,0,0,0,38.0,unknown
346,15.4,4.8,40,22.0,18,unknown,E10,0,0,0,38.0,unknown
347,17.2,3.9,35,22.0,16,unknown,E10,0,0,0,38.0,unknown
348,16.6,4.6,50,22.0,25,unknown,E10,0,0,0,38.0,unknown
349,18.3,4.3,46,22.0,16,unknown,SP98,0,0,0,37.2,SP98
350,16.1,4.8,36,22.0,18,rain,SP98,0,1,0,38.0,unknown
351,16.0,4.1,46,22.0,17,unknown,SP98,0,0,0,38.0,unknown
352,16.3,4.0,35,22.0,23,unknown,SP98,0,0,0,38.0,unknown
353,16.0,3.7,44,22.0,16,unknown,SP98,0,0,0,38.0,unknown
354,18.3,4.3,46,22.0,23,unknown,SP98,0,0,0,38.0,unknown
355,4.5,5.2,23,22.0,23,sun,SP98,0,0,1,38.0,unknown
356,17.0,4.2,48,22.0,16,unknown,SP98,0,0,0,38.0,unknown
357,6.1,5.0,35,24.5,18,unknown,SP98,0,0,0,38.0,unknown
358,6.1,5.0,33,22.0,24,sun,SP98,0,0,1,38.0,unknown
359,17.3,4.2,36,22.0,22,unknown,SP98,0,0,0,38.0,unknown
360,6.0,4.8,27,22.0,17,unknown,SP98,0,0,0,38.0,unknown
361,16.0,4.1,45,22.0,15,unknown,SP98,0,0,0,38.0,unknown
362,15.4,4.9,55,22.0,18,unknown,SP98,0,0,0,38.0,unknown
363,15.4,4.3,39,22.0,23,unknown,SP98,0,0,0,38.0,unknown
364,16.0,3.9,35,22.0,18,unknown,SP98,0,0,0,38.0,unknown
365,15.4,4.5,52,22.0,26,unknown,SP98,0,0,0,38.0,unknown
366,16.6,4.1,48,25.5,30,ac sun,SP98,1,0,1,38.0,unknown
367,15.4,5.0,48,25.5,31,ac,SP98,1,0,0,38.0,unknown
368,16.0,4.0,43,22.0,21,ac,SP98,1,0,0,38.0,unknown
369,15.4,4.5,42,22.0,30,unknown,SP98,0,0,0,38.0,unknown
370,16.0,3.6,43,22.0,19,unknown,SP98,0,0,0,38.0,unknown
371,20.9,4.1,33,22.0,21,unknown,SP98,0,0,0,38.0,unknown
372,32.1,3.9,47,22.0,26,unknown,SP98,0,0,0,38.0,unknown
373,15.3,6.6,16,24.0,27,ac,SP98,1,0,0,38.0,unknown
374,28.5,4.0,44,25.0,23,ac,SP98,1,0,0,38.0,unknown
375,11.9,3.7,33,25.0,19,unknown,SP98,0,0,0,38.0,unknown
376,14.5,4.3,36,25.0,22,unknown,SP98,0,0,0,38.0,unknown
377,16.6,4.1,49,22.0,26,sun,SP98,0,0,1,38.0,unknown
378,16.2,4.4,39,24.5,17,ac,SP98,1,0,0,38.0,unknown
379,16.7,3.8,44,24.5,23,sun,SP98,0,0,1,38.0,unknown
380,8.3,5.0,52,24.5,27,unknown,SP98,0,0,0,38.0,unknown
381,5.5,3.7,33,24.5,28,sun,SP98,0,0,1,38.0,unknown
382,13.6,3.7,33,24.5,28,sun,SP98,0,0,1,38.0,unknown
383,16.0,3.7,39,24.5,18,unknown,SP98,0,0,0,38.0,unknown
384,16.1,4.3,38,25.0,31,ac,SP98,1,0,0,38.0,unknown
385,16.0,3.8,45,25.0,19,unknown,SP98,0,0,0,38.0,unknown
386,15.4,4.6,42,25.0,31,ac,SP98,1,0,0,38.0,unknown
387,14.7,5.0,25,25.0,30,ac,SP98,1,0,0,38.0,unknown
